able;Asya;способный;в состоянии
about;Asya;о;около
actor;Asya;актёр;деятель
after;Asya;после;потом
Air;Asya;воздух;
all;Asya;все;весь
always;Asya;всегда;
amazing;Asya;удивительный;поразительный
Animal;Asya;животное;зверь
any;Asya;любой;всякий
April;Asya;апрель;апрельский
Area;Asya;область;пространство
army;Asya;армия;множество
artist;Asya;художник;живописец
as;Asya;как;в качестве
ask;Asya;спрашивать;попросить
audience;Asya;публика;зрители
autumn;Asya;осень;
available;Asya;доступный;пригодный
away;Asya;прочь;вдаль
bad;Asya;плохие;
Bag;Asya;сумка;мешок
be;Asya;быть;находиться
become;Asya;становиться;
begin;Asya;начинать;
best;Asya;самый лучший;
better;Asya;лучше;
big;Asya;большой;крупный
Bird;Asya;птица;
black;Asya;чёрный;
blonde;Asya;блондинка;блондин
blue;Asya;голубой;грустный
Board;Asya;доска;садиться (на судно, самолёт)
Body;Asya;тело;кузов
Book;Asya;книга;бронировать
Box;Asya;коробка;ящик
Boy;Asya;мальчик;
break;Asya;ломать;перерыв
breakfast;Asya;завтрак;завтракать
bring;Asya;приносить;доставлять
Brother;Asya;брат;
build;Asya;строить;телосложение
burn;Asya;обжечься;гореть
bus;Asya;автобус;шина
buy;Asya;покупать;покупка
Cake;Asya;торт;пирог
call;Asya;звонить;звонок
Camera;Asya;фотокамера;фотоаппарат
camping;Asya;кемпинг;лагерь для автотуристов
can;Asya;мочь;уметь
Car;Asya;машина;
Card;Asya;открытка;карта
carpet;Asya;покрытие;ковер
carry;Asya;нести, перевозить;носить
case;Asya;случай;обстоятельство
catch;Asya;ловить;поймать
Chair;Asya;стул;
change;Asya;менять;изменять
Child;Asya;ребенок;
choice;Asya;выбор;отбор
choose;Asya;выбирать;избирать
City;Asya;город;
classroom;Asya;классная комната;класс
club;Asya;дубинка;клуб
cold;Asya;холодный;простуда
Color;Asya;цвет;красить
come;Asya;приходить;
company;Asya;компания;общество
Country;Asya;страна;деревня
create;Asya;создавать;творить
cut;Asya;резать;
dangerous;Asya;опасный;рискованный
dark;Asya;тёмный;темнота
Day;Asya;день;сутки
dead;Asya;мёртвый;умерший
definite;Asya;определённый;точный
describe;Asya;описывать;изображать
difference;Asya;разница;различие
different;Asya;разный;непохожий
difficult;Asya;трудный;сложный
do;Asya;делать;выполнять
Dog;Asya;собака;пёс
Door;Asya;дверь;
draw;Asya;рисовать;привлекать
drive;Asya;ехать;водить машину
early;Asya;рано;ранний
easy;Asya;лёгкий;нетрудный
eighteen;Asya;восемнадцать;
eighty;Asya;восемьдесят;
Evening;Asya;вечер;
every;Asya;каждый;всякий
explain;Asya;объяснять;толковать
Eye;Asya;глаз;взгляд
Face;Asya;лицо;сталкиваться
fall;Asya;падать;падение
Family;Asya;семья;
farmer;Asya;фермер;
Father;Asya;отец;папа
feel;Asya;чувствовать;
Film;Asya;фильм;плёнка
find;Asya;находить;обнаруживать
Fire;Asya;пламя;огонь
Fish;Asya;рыба;ловить рыбу
fly;Asya;летать;муха
follow;Asya;следовать;сопровождать
Food;Asya;еда;пища
forty;Asya;сорок;
four;Asya;четыре;четвёрка
free;Asya;свободный;
Friend;Asya;друг;приятель
friendly;Asya;дружественный;дружелюбный
full;Asya;полный;целый
game;Asya;игра;партия
generally;Asya;как правило;обычно
get;Asya;получать;добиваться
Girl;Asya;девочка;девушка
give;Asya;отдавать;давать
Glasses;Asya;очки;
go;Asya;ходить;идти
good;Asya;хороший;
great;Asya;великий;прекрасный
green;Asya;зелёный;зелень
grey;Asya;серый;седой
Group;Asya;группа;классифицировать
grow;Asya;расти;
Guitar;Asya;гитара;
Guy;Asya;парень;
hair;Asya;волосы;прическа
Hand;Asya;рука (кисть);
happy;Asya;счастливый;довольный
hard;Asya;жёсткий;тяжелый
have;Asya;иметь;обладать
Health;Asya;здоровье;благосостояние
hear;Asya;слышать;
help;Asya;помощь;помогать
here;Asya;здесь;тут
high;Asya;высокий;интенсивный
his;Asya;его;
hold;Asya;держать;
Home;Asya;дом;жилище
hope;Asya;надежда;надеяться
hot;Asya;горячий;острый
hotel;Asya;гостиница;отель
House;Asya;дом (здание);
ice;Asya;лёд;
Idea;Asya;идея;
important;Asya;важный;
just;Asya;просто;прямо, как раз
keep;Asya;хранить;держать
Key;Asya;ключ;основной
know;Asya;знать;
last month;Asya;в прошлом месяце;
last week;Asya;на прошлой неделе;
late;Asya;поздно;опаздывать
learn;Asya;учиться;узнавать
leave;Asya;покидать;оставлять
left;Asya;левый;покинуть
Leg;Asya;нога (от бедра до ступни);
lesson;Asya;урок;занятие
let;Asya;позволять;разрешать
Level;Asya;уровень;
Life;Asya;жизнь;существование
like;Asya;нравиться;
little;Asya;маленький;не много
live;Asya;жить;существовать
local;Asya;местный;частичный
long;Asya;длинный;
look;Asya;смотреть;глядеть
lose;Asya;проигрывать;терять
low;Asya;низкий;невысокий
main;Asya;главный;основной
major;Asya;главный;значительный
make;Asya;создавать;делать (руками)
Man;Asya;мужчина;человек
maybe;Asya;может быть;
mean;Asya;значить;иметь в виду
meet;Asya;встречаться;видеться
metre;Asya;метр;ритм
Minute;Asya;минута;
Moment;Asya;момент;мгновение
Money;Asya;деньги;
Month;Asya;месяц (календарный);
Morning;Asya;утро;
mother;Asya;мать;мама
move;Asya;двигаться;движение
movie;Asya;кино;фильм
Name;Asya;имя;называть
need;Asya;нуждаться;нужда
never;Asya;никогда;ни разу
new;Asya;новый;
next;Asya;следующий;соседний
next month;Asya;в следующем месяце;
nice;Asya;милый;приятный
Night;Asya;ночь;
nineteen;Asya;девятнадцать;числ. девятнадцать
ninety;Asya;девяносто;
nobody;Asya;никто;никого
north;Asya;север;северный
note;Asya;примечание;заметка
Notebook;Asya;записная книжка;
now;Asya;сейчас;
Number;Asya;число;номер
often;Asya;часто;много раз
old;Asya;старый;
only;Asya;только;единственный
open;Asya;открывать;открытый
or;Asya;или;
orange;Asya;оранжевый;апельсин
other;Asya;другой;иной
Paper;Asya;бумага;газета
Parent;Asya;родитель;
Part;Asya;часть;доля
Party;Asya;вечеринка;партия
Passport;Asya;паспорт;
pay;Asya;платить;плата
Pen;Asya;ручка;
Pencil;Asya;карандаш;
People;Asya;люди;
Person;Asya;человек;личность
phone;Asya;телефон;звонить по телефону
Photo;Asya;фото;фотография
Picture;Asya;картина;изображение
Place;Asya;место;размещать
play;Asya;играть;действие
Point;Asya;точка зрения;указывать, направлять
poor;Asya;бедный;неимущий
popular;Asya;популярный;широко известный
possible;Asya;вероятный;возможный
Problem;Asya;проблема;
Program;Asya;программа;
project;Asya;проект;план
put;Asya;класть;ставить
quarter;Asya;четверть;квартал
Question;Asya;вопрос;
quite;Asya;вполне;совершенно
rarely;Asya;редко;нечасто
read;Asya;читать;
ready;Asya;готовый;
real;Asya;реальный;настоящий
Reason;Asya;причина;основание
repeat;Asya;повторять;повтор
Result;Asya;результат;исход
rich;Asya;богатый;состоятельный
rich;Asya;богатый;состоятельный
right;Asya;право;правильный
river;Asya;река;речной
Room;Asya;комната;номер
routine;Asya;обычный;рутина
run;Asya;бежать;руководить
say;Asya;говорить;сказать
School;Asya;школа;
second;Asya;второй;
see;Asya;видеть;
seem;Asya;казаться;представляться
seldom;Asya;редко;нечасто
sell;Asya;продавать;продать
serious;Asya;серьёзный;важный
short;Asya;короткий;низкий
Side;Asya;сторона;бок
similar;Asya;похожий;подобный
Sister;Asya;сестра;
skill;Asya;умение;навык
sleep;Asya;спать;засыпать
small;Asya;маленький;небольшой
Snow;Asya;снег;
so;Asya;так;таким образом
someone;Asya;кто-нибудь;кто-то
sometimes;Asya;иногда;временами
son;Asya;сын;сынок
space;Asya;пространство;космос
special;Asya;особый;особенный
spring;Asya;весна;пружина
start;Asya;начинать;старт
still;Asya;до сих пор;
stop;Asya;останавливаться;прекращать
Story;Asya;история;рассказ
Street;Asya;улица;
strong;Asya;сильный;решительный
Student;Asya;студент;ученик
Sun;Asya;солнце;
sure;Asya;уверенный;конечно
sweater;Asya;свитер;свитер, пуловер
System;Asya;система;устройство
Tablet;Asya;планшет;
take;Asya;брать;взять
talk;Asya;говорить;разговаривать
tall;Asya;высокий;
Team;Asya;команда;бригада
teenager;Asya;подросток;подростком
tell;Asya;рассказывать;говорить
test;Asya;испытание;тест
than;Asya;чем;кроме
than;Asya;чем;
that;Asya;тот;что
theatre;Asya;театр;
then;Asya;потом;тогда
Thing;Asya;вещь;
think;Asya;думать;обдумывать
this week;Asya;на этой неделе;
Thursday;Asya;четверг;
Time;Asya;время;
time;Asya;время;
tired;Asya;усталый;утомлённый
title;Asya;название;заголовок статьи
Today;Asya;сегодня;
toilet;Asya;туалет;одевание
tomato;Asya;помидор;томат
tomorrow;Asya;завтра;
tonight;Asya;сегодня вечером;сегодня ночью
too;Asya;слишком;тоже
tooth;Asya; зуб;
true;Asya;правда;истинна
try;Asya;пробовать;пытаться
understand;Asya;понимать;осмысливать
until;Asya;до тех пор;пока
use;Asya;пользоваться;применять
usually;Asya;обычно;
very;Asya;очень;
Wallet;Asya;бумажник;кошелёк
want;Asya;хотеть;желать
watch;Asya;смотреть, наблюдать;часы
Water;Asya;вода;
Way;Asya;способ;путь
Week;Asya;неделя;
white;Asya;белый;
Window;Asya;окно;витрина
Woman;Asya;женщина;
work;Asya;работа;работать
World;Asya;мир;
write;Asya;писать;записывать
Year;Asya;год;
yellow;Asya;жёлтый;
yesterday;Asya;вчера;
young;Asya;молодой;юный
